nom_site,adresse,cp,idpw,nombre_de_borne_wifi,etat,latitude,longitude
BIBLIOTHEQUE ROBERT SABATIER,29 RUE HERMEL,75018,PW0236,5,Opérationnel,48.891536321027466,2.3444363201141876
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 18,15 PASSAGE RAMEY,75018,PW0032,3,Opérationnel,48.890069083043585,2.347335497120628
KIOSQUE CITOYEN 18,FACE AU 133 RUE BELLIARD,75018,PW0249,1,Opérationnel,48.89635773480956,2.334660151483013
JARDIN D EOLE - 1,18B RUE DU DEPARTEMENT,75018,PW0170,2,Opérationnel,48.88645056943661,2.36547579719454
CENTRE SPORTIF BERTRAND DAUVIN,12 RUE RENE BINET,75018,PW0089,1,Opérationnel,48.89948663873551,2.3420540980918902
BIBLIOTHEQUE JACQUELINE DE ROMILLY,16-30 AVENUE DE LA PORTE MONTMARTRE,75018,PW0198,2,Opérationnel,48.90037987433251,2.335873500895439
BIBLIOTHEQUE GOUTTE D OR,2-4 RUE FLEURY,75018,PW0006,4,Opérationnel,48.88446312981792,2.354141601420772
JARDIN D EOLE - 2,18B RUE DU DEPARTEMENT,75018,PW0170-1,2,Opérationnel,48.885833654570234,2.3650478295623927
BIBLIOTHEQUE VACLAV HAVEL,26B RUE PAJOL,75018,PW0009,4,Opérationnel,48.89010615413496,2.3632099736311223
CENTRE SPORTIF POISSONNIERS,2 RUE JEAN COCTEAU,75018,PW0091,1,Opérationnel,48.89968592616539,2.351991975265799
BIBLIOTHEQUE MAURICE GENEVOIX,19 RUE TRISTAN TZARA,75018,PW0007,1,Opérationnel,48.8949645929562,2.363900713494337
PARC DES BUTTES CHAUMONT - BOLIVAR,1 RUE BOTZARIS,75019,PW0159-1,1,Opérationnel,48.87647305121453,2.3810174201339076
SQUARE DE LA MARSEILLAISE,1B RUE DE LA MARSEILLAISE,75019,PW0064,1,Opérationnel,48.887286841813356,2.3980622430291216
ARCHIVES DE PARIS,18 BOULEVARD SERURIER,75019,PW0246,1,Opérationnel,48.87803821682544,2.4058081248559793
BIBLIOTHEQUE CLAUDE LEVI STRAUSS,35-45 AVENUE DE FLANDRE,75019,PW0002,2,Opérationnel,48.88676697087046,2.371473050466415
BIBLIOTHEQUE BENJAMIN RABIER,141 AVENUE DE FLANDRE,75019,PW0001,2,Opérationnel,48.89276109370963,2.3791228394582746
PARC DES BUTTES CHAUMONT - VILLETTE,1 RUE BOTZARIS,75019,PW0159,1,Opérationnel,48.87968174681816,2.3883276373944744
PARC DES BUTTES CHAUMONT - CARREL,4 PLACE ARMAND CARREL,75019,PW0182,2,Opérationnel,48.88279406334441,2.3827054255995606
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  19,20 RUE EDOUARD PAILLERON,75019,PW0033,1,Opérationnel,48.880406153498065,2.376545106225318
